SUMMARY STATISTICS

,Bed Time,Get Up Time,Time in Bed (hours),Total Sleep Time (hours),Onset Latency (minutes),Sleep Efficiency (Percent),WASO (minutes),#Awak
Min,20:10:30,7:14:0,9:11:0,8:0:0,72.50,72.50,29,75.97
Max,23:19:0,8:33:30,12:17:0,10:42:0,130.50,130.50,85,83.04
Avg,21:44:26,31:1:48,31:42:37,32:38:26,107.28,107.28,61.81,79.51
