Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
White,1,0,0,23,2
White,1,0,0,24,5
White,1,0,0,25,4
White,1,0,0,26,2
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,2
White,1,0,0,30,2
White,1,0,0,31,2
White,1,0,0,32,2
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,2
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,1
White,1,0,0,41,4
White,1,0,0,42,1
White,1,0,0,43,3
White,1,0,0,44,1
White,1,0,0,45,1
White,1,0,0,46,1
White,1,0,0,47,18
White,1,0,0,48,9
White,1,0,0,49,49
White,1,0,0,50,38
White,1,0,0,51,60
White,1,0,0,52,63
White,1,0,0,53,39
White,1,0,0,54,41
White,1,0,0,55,55
White,1,0,0,56,32
White,1,0,0,57,2
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,0
White,1,0,0,1,0
White,1,0,0,2,3
White,1,0,0,3,9
White,1,0,0,4,2
White,1,0,0,5,7
White,1,0,0,6,2
White,1,0,0,7,3
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,2
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,2
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,1
White,1,0,0,20,5
White,1,0,0,21,4
White,1,0,0,22,2
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,2
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,2
White,1,0,0,37,2
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,2
White,1,0,0,41,1
White,1,0,0,42,4
White,1,0,0,43,3
White,1,0,0,44,1
White,1,0,0,45,1
White,1,0,0,46,1
White,1,0,0,47,3
White,1,0,0,48,2
White,1,0,0,49,26
White,1,0,0,50,34
White,1,0,0,51,74
White,1,0,0,52,66
White,1,0,0,53,66
White,1,0,0,54,78
White,1,0,0,55,60
White,1,0,0,56,36
White,1,0,0,57,26
White,1,0,0,58,15
White,1,0,0,59,2
White,1,0,0,0,50
White,1,0,0,1,5
White,1,0,0,2,1
White,1,0,0,3,1
White,1,0,0,4,2
White,1,0,0,5,2
White,1,0,0,6,18
White,1,0,0,7,3
White,1,0,0,8,7
White,1,0,0,9,3
White,1,0,0,10,2
White,1,0,0,11,5
White,1,0,0,12,3
White,1,0,0,13,3
White,1,0,0,14,4
White,1,0,0,15,3
White,1,0,0,16,2
White,1,0,0,17,2
White,1,0,0,18,1
White,1,0,0,19,4
White,1,0,0,20,1
White,1,0,0,21,2
White,1,0,0,22,2
White,1,0,0,23,2
White,1,0,0,24,2
White,1,0,0,25,2
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,2
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,2
White,1,0,0,40,3
White,1,0,0,41,1
White,1,0,0,42,3
White,1,0,0,43,6
White,1,0,0,44,2
White,1,0,0,45,13
White,1,0,0,46,4
White,1,0,0,47,20
White,1,0,0,48,28
White,1,0,0,49,9
White,1,0,0,50,9
White,1,0,0,51,20
White,1,0,0,52,64
White,1,0,0,53,51
White,1,0,0,54,112
White,1,0,0,55,37
White,1,0,0,56,21
White,1,0,0,57,21
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,5
White,1,0,0,1,7
White,1,0,0,2,1
White,1,0,0,3,1
White,1,0,0,4,1
White,1,0,0,5,1
White,1,0,0,6,3
White,1,0,0,7,1
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,3
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,7
White,1,0,0,33,4
White,1,0,0,34,3
White,1,0,0,35,12
White,1,0,0,36,8
White,1,0,0,37,4
White,1,0,0,38,5
White,1,0,0,39,8
White,1,0,0,40,8
White,1,0,0,41,13
White,1,0,0,42,3
White,1,0,0,43,13
White,1,0,0,44,5
White,1,0,0,45,6
White,1,0,0,46,5
White,1,0,0,47,7
White,1,0,0,48,26
White,1,0,0,49,30
White,1,0,0,50,73
White,1,0,0,51,56
White,1,0,0,52,64
White,1,0,0,53,28
White,1,0,0,54,53
White,1,0,0,55,31
White,1,0,0,56,26
White,1,0,0,57,24
White,1,0,0,58,4
White,1,0,0,59,0
White,1,0,0,0,80
White,1,0,0,1,29
White,1,0,0,2,1
White,1,0,0,3,3
White,1,0,0,4,3
White,1,0,0,5,4
White,1,0,0,6,19
White,1,0,0,7,1
White,1,0,0,8,4
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,2
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,2
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,1
White,1,0,0,41,1
White,1,0,0,42,1
White,1,0,0,43,1
White,1,0,0,44,1
White,1,0,0,45,10
White,1,0,0,46,2
White,1,0,0,47,2
White,1,0,0,48,24
White,1,0,0,49,42
White,1,0,0,50,43
White,1,0,0,51,48
White,1,0,0,52,39
White,1,0,0,53,77
White,1,0,0,54,59
White,1,0,0,55,12
White,1,0,0,56,3
White,1,0,0,57,19
White,1,0,0,58,1
White,1,0,0,59,8
White,1,0,0,0,113
White,1,0,0,1,5
White,1,0,0,2,32
White,1,0,0,3,2
White,1,0,0,4,2
White,1,0,0,5,4
White,1,0,0,6,10
White,1,0,0,7,38
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,2
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,2
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,2
White,1,0,0,28,2
White,1,0,0,29,1
White,1,0,0,30,2
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,1
White,1,0,0,41,1
White,1,0,0,42,1
White,1,0,0,43,2
White,1,0,0,44,7
White,1,0,0,45,7
White,1,0,0,46,5
White,1,0,0,47,7
White,1,0,0,48,14
White,1,0,0,49,36
White,1,0,0,50,23
White,1,0,0,51,47
White,1,0,0,52,40
White,1,0,0,53,38
White,1,0,0,54,26
White,1,0,0,55,11
White,1,0,0,56,5
White,1,0,0,57,23
White,1,0,0,58,2
White,1,0,0,59,5
White,1,0,0,60,27
White,1,0,0,0,48
White,1,0,0,1,2
White,1,0,0,2,2
White,1,0,0,3,2
White,1,0,0,4,2
White,1,0,0,5,1
White,1,0,0,6,4
White,1,0,0,7,1
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,2
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,3
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,2
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,2
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,16
White,1,0,0,40,6
White,1,0,0,41,7
White,1,0,0,42,16
White,1,0,0,43,15
White,1,0,0,44,13
White,1,0,0,45,12
White,1,0,0,46,39
White,1,0,0,47,17
White,1,0,0,48,17
White,1,0,0,49,54
White,1,0,0,50,35
White,1,0,0,51,61
White,1,0,0,52,43
White,1,0,0,53,57
White,1,0,0,54,35
White,1,0,0,55,9
White,1,0,0,56,16
White,1,0,0,57,6
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,89
White,1,0,0,1,35
White,1,0,0,2,11
White,1,0,0,3,8
White,1,0,0,4,10
White,1,0,0,5,10
White,1,0,0,6,11
White,1,0,0,7,47
White,1,0,0,8,33
White,1,0,0,9,9
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,2
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,2
White,1,0,0,23,1
White,1,0,0,24,2
White,1,0,0,25,2
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,6
White,1,0,0,32,4
White,1,0,0,33,3
White,1,0,0,34,6
White,1,0,0,35,12
White,1,0,0,36,11
White,1,0,0,37,3
White,1,0,0,38,7
White,1,0,0,39,4
White,1,0,0,40,7
White,1,0,0,41,11
White,1,0,0,42,4
White,1,0,0,43,7
White,1,0,0,44,7
White,1,0,0,45,9
White,1,0,0,46,6
White,1,0,0,47,7
White,1,0,0,48,7
White,1,0,0,49,3
White,1,0,0,50,48
White,1,0,0,51,14
White,1,0,0,52,16
White,1,0,0,53,19
White,1,0,0,54,30
White,1,0,0,55,21
White,1,0,0,56,11
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,46
White,1,0,0,1,1
White,1,0,0,2,1
White,1,0,0,3,2
White,1,0,0,4,1
White,1,0,0,5,2
White,1,0,0,6,1
White,1,0,0,7,1
White,1,0,0,8,2
White,1,0,0,9,1
White,1,0,0,10,2
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,2
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,2
White,1,0,0,22,1
White,1,0,0,23,2
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,2
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,1
White,1,0,0,41,1
White,1,0,0,42,1
White,1,0,0,43,1
White,1,0,0,44,7
White,1,0,0,45,19
White,1,0,0,46,24
White,1,0,0,47,39
White,1,0,0,48,59
White,1,0,0,49,58
White,1,0,0,50,43
White,1,0,0,51,35
White,1,0,0,52,40
White,1,0,0,53,28
White,1,0,0,54,38
White,1,0,0,55,37
White,1,0,0,56,25
White,1,0,0,57,12
White,1,0,0,58,8
White,1,0,0,59,3
White,1,0,0,0,53
White,1,0,0,1,0
White,1,0,0,2,0
White,1,0,0,3,5
White,1,0,0,4,1
White,1,0,0,5,1
White,1,0,0,6,1
White,1,0,0,7,1
White,1,0,0,8,0
White,1,0,0,9,4
White,1,0,0,10,3
White,1,0,0,11,1
White,1,0,0,12,0
White,1,0,0,13,0
White,1,0,0,14,0
White,1,0,0,15,0
White,1,0,0,16,4
White,1,0,0,17,2
White,1,0,0,18,1
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,2
White,1,0,0,23,4
White,1,0,0,24,1
White,1,0,0,25,2
White,1,0,0,26,2
White,1,0,0,27,7
White,1,0,0,28,6
White,1,0,0,29,5
White,1,0,0,30,12
White,1,0,0,31,7
White,1,0,0,32,2
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,2
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,6
White,1,0,0,40,8
White,1,0,0,41,10
White,1,0,0,42,6
White,1,0,0,43,22
White,1,0,0,44,22
White,1,0,0,45,15
White,1,0,0,46,19
White,1,0,0,47,14
White,1,0,0,48,18
White,1,0,0,49,28
White,1,0,0,50,40
White,1,0,0,51,39
White,1,0,0,52,25
White,1,0,0,53,19
White,1,0,0,54,59
White,1,0,0,55,34
White,1,0,0,56,13
White,1,0,0,57,15
White,1,0,0,58,13
White,1,0,0,59,12
White,1,0,0,0,135
White,1,0,0,1,37
White,1,0,0,2,2
White,1,0,0,3,12
White,1,0,0,4,2
White,1,0,0,5,2
White,1,0,0,6,2
White,1,0,0,7,2
White,1,0,0,8,2
White,1,0,0,9,2
White,1,0,0,10,2
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,2
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,4
White,1,0,0,23,1
White,1,0,0,24,2
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,2
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,1
White,1,0,0,41,1
White,1,0,0,42,0
White,1,0,0,43,1
White,1,0,0,44,1
White,1,0,0,45,2
White,1,0,0,46,5
White,1,0,0,47,31
White,1,0,0,48,32
White,1,0,0,49,34
White,1,0,0,50,25
White,1,0,0,51,13
White,1,0,0,52,10
White,1,0,0,53,28
White,1,0,0,54,43
White,1,0,0,55,54
White,1,0,0,56,21
White,1,0,0,57,34
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,43
White,1,0,0,1,5
White,1,0,0,2,7
White,1,0,0,3,2
White,1,0,0,4,1
White,1,0,0,5,10
White,1,0,0,6,2
White,1,0,0,7,2
White,1,0,0,8,6
White,1,0,0,9,2
White,1,0,0,10,2
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,2
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,2
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,2
White,1,0,0,41,1
White,1,0,0,42,1
White,1,0,0,43,1
White,1,0,0,44,7
White,1,0,0,45,13
White,1,0,0,46,57
White,1,0,0,47,44
White,1,0,0,48,9
White,1,0,0,49,18
White,1,0,0,50,52
White,1,0,0,51,55
White,1,0,0,52,22
White,1,0,0,53,42
White,1,0,0,54,50
White,1,0,0,55,56
White,1,0,0,56,28
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,15
White,1,0,0,1,9
White,1,0,0,2,4
White,1,0,0,3,1
White,1,0,0,4,1
White,1,0,0,5,3
White,1,0,0,6,1
White,1,0,0,7,1
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,3
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,2
White,1,0,0,19,1
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,2
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,2
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,2
White,1,0,0,40,2
White,1,0,0,41,6
White,1,0,0,42,13
White,1,0,0,43,24
White,1,0,0,44,18
White,1,0,0,45,16
White,1,0,0,46,32
White,1,0,0,47,27
White,1,0,0,48,35
White,1,0,0,49,31
White,1,0,0,50,15
White,1,0,0,51,24
White,1,0,0,52,42
White,1,0,0,53,71
White,1,0,0,54,46
White,1,0,0,55,34
White,1,0,0,56,20
White,1,0,0,57,26
White,1,0,0,58,17
White,1,0,0,59,0
White,1,0,0,0,19
White,1,0,0,1,5
White,1,0,0,2,2
White,1,0,0,3,2
White,1,0,0,4,17
White,1,0,0,5,1
White,1,0,0,6,1
White,1,0,0,7,1
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,1
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,1
White,1,0,0,20,2
White,1,0,0,21,2
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,2
White,1,0,0,26,1
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,2
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,2
White,1,0,0,34,1
White,1,0,0,35,17
White,1,0,0,36,9
White,1,0,0,37,10
White,1,0,0,38,3
White,1,0,0,39,4
White,1,0,0,40,2
White,1,0,0,41,2
White,1,0,0,42,2
White,1,0,0,43,4
White,1,0,0,44,2
White,1,0,0,45,2
White,1,0,0,46,9
White,1,0,0,47,12
White,1,0,0,48,22
White,1,0,0,49,26
White,1,0,0,50,11
White,1,0,0,51,45
White,1,0,0,52,56
White,1,0,0,53,69
White,1,0,0,54,81
White,1,0,0,55,52
White,1,0,0,56,45
White,1,0,0,57,7
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,5
White,1,0,0,1,9
White,1,0,0,2,1
White,1,0,0,3,1
White,1,0,0,4,1
White,1,0,0,5,2
White,1,0,0,6,1
White,1,0,0,7,3
White,1,0,0,8,1
White,1,0,0,9,1
White,1,0,0,10,1
White,1,0,0,11,1
White,1,0,0,12,2
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,1
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,1
White,1,0,0,19,3
White,1,0,0,20,2
White,1,0,0,21,4
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,2
White,1,0,0,27,1
White,1,0,0,28,1
White,1,0,0,29,1
White,1,0,0,30,1
White,1,0,0,31,1
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,1
White,1,0,0,39,2
White,1,0,0,40,1
White,1,0,0,41,1
White,1,0,0,42,1
White,1,0,0,43,2
White,1,0,0,44,1
White,1,0,0,45,2
White,1,0,0,46,2
White,1,0,0,47,29
White,1,0,0,48,8
White,1,0,0,49,5
White,1,0,0,50,16
White,1,0,0,51,7
White,1,0,0,52,46
White,1,0,0,53,25
White,1,0,0,54,67
White,1,0,0,55,47
White,1,0,0,56,32
White,1,0,0,57,53
White,1,0,0,58,141
White,1,0,0,59,22
White,1,0,0,0,203
White,1,0,0,1,3
White,1,0,0,2,23
White,1,0,0,3,74
White,1,0,0,4,13
White,1,0,0,5,23
White,1,0,0,6,3
White,1,0,0,7,5
White,1,0,0,8,4
White,1,0,0,9,3
White,1,0,0,10,6
White,1,0,0,11,51
White,1,0,0,12,4
White,1,0,0,13,1
White,1,0,0,14,1
White,1,0,0,15,6
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,6
